node_id,lat,lon,addr:housenumber,addr:postcode,addr:street,building,building:levels,denomination,historic,leisure,tourism,sport,area,ratio
4663,39.477633,-0.3805108,,,,,,,,,,,,
4664,39.4777326,-0.3798732,,,,,,,,,,,,
4665,39.477841,-0.3798812,,,,,,,,,,,,
4666,39.4779343,-0.3798855,,,,,,,,,,,,
4667,39.4779994,-0.3798902,,,,,,,,,,,,
4668,39.4780734,-0.3798936,,,,,,,,,,,,
4669,39.4778408,-0.3802302,,,,,,,,,,,,
4670,39.4779743,-0.3802471,,,,,,,,,,,,
4671,39.4780502,-0.3801184,,,,,,,,,,,,
4672,39.4779714,-0.3800847,,,,,,,,,,,,
4673,39.4778838,-0.3801799,,,,,,,,,,,,
4674,39.4778297,-0.3800859,,,,,,,,,,,,
4675,39.4777726,-0.3800546,13,,Pla?a de Moss?n Sorell,apartments,4,,,,,,,
4676,39.4783294,-0.3805618,,,,,,,,,,,,
4677,39.4783118,-0.3804586,,,,,,,,,,,,
4678,39.4782684,-0.3803688,,,,,,,,,,,,
4679,39.4782127,-0.3802037,,,,,,,,,,,,
4680,39.4782094,-0.380257,,,,,,,,,,,,
4681,39.4781383,-0.3802727,,,,,,,,,,,,
4682,39.47824,-0.3803073,,,,,,,,,,,,
4683,39.4781478,-0.3806046,,,,,,,,,,,,
4684,39.4782536,-0.3805655,,,,,,,,,,,,
4685,39.4781267,-0.380395,,,,,,,,,,,,
4686,39.4787928,-0.3800218,,,,,,,,,,,,
4687,39.4794388,-0.3804039,,,,,,,,,,,,
4688,39.4793083,-0.380881,,,,,,,,,,,,
4689,39.479408,-0.3809754,,,,,,,,,,,,
4690,39.4795141,-0.3809433,,,,,,,,,,,,
4691,39.4794088,-0.3806731,,,,,,,,,,,,
4692,39.4796228,-0.3817835,,,,,,,,,,,,
4693,39.4798172,-0.3814646,,,,,,,,,,,,
4694,39.4791322,-0.381956,,,,,,,,,,,,
4695,39.4790581,-0.3816608,,,,,,,,,,,,
4696,39.4785175,-0.3825686,,,Carrer de la Corona,place_of_worship,0,catholic,,,,,,
4697,39.4789274,-0.3823888,,,,,,,,,,,,
4698,39.4790363,-0.3823217,,,,,,,,,,,,
4699,39.4798059,-0.3804046,10,,Carrer de Na Jordana,,,,,,,,,
4700,39.479782,-0.3802876,8,,Carrer de Na Jordana,,,,,,,,,
4701,39.4797584,-0.38017,6,,Carrer de Na Jordana,,,,,,,,,
4702,39.4797374,-0.3800655,4,,Carrer de Na Jordana,,,,,,,,,
4703,39.478636,-0.3860291,,,,,,,,,,,,
4704,39.4785735,-0.3857853,,,,,,,,,,,,
4705,39.4785861,-0.3856168,,,,,,,,,,,,
4706,39.4787296,-0.3855925,,,,,,,,,,,,
4707,39.478853,-0.3856699,,,,,,,,,,,,
4708,39.4787835,-0.3858259,,,,,,,,,,,,
4709,39.4787371,-0.3859571,,,,,,,,,,,,
4710,39.4787143,-0.3858183,,,,,,,,,,,,
4711,39.4789586,-0.3837102,,,,,,,,,,,,
4712,39.4803235,-0.3827563,44,,Carrer de Na Jordana,,1,,,,,,,
4713,39.4804669,-0.3825897,136,,Carrer de Guillem de Castro,,,,,,,,,
4714,39.4805216,-0.3823743,138,,Carrer de Guillem de Castro,,,,,,,,,
4715,39.480476,-0.3822431,140,,Carrer de Guillem de Castro,,,,,,,,,
4716,39.4805046,-0.382087,142,,Carrer de Guillem de Castro,,,,,,,,,
4717,39.48069,-0.3818917,144,,Carrer de Guillem de Castro,,,,,,,,,
4718,39.4802066,-0.3821021,,,,,,,,,,,,
4719,39.4806121,-0.3809109,11,,Carrer de Ll?ria,,,,,,,,,
4720,39.4802124,-0.3811353,3,,Carrer de Ll?ria,,,,,,,,,
4721,39.4805211,-0.3810044,9,,Carrer de Ll?ria,,,,,,,,,
4722,39.4804341,-0.3810953,7,,Carrer de Ll?ria,,,,,,,,,
4723,39.4801245,-0.381213,,,,,,,,,,,,
4724,39.4801937,-0.3813896,,,,,,,,,,,,
4725,39.4806209,-0.3817413,,,,,,,,,,,,
4726,39.4806184,-0.3815905,,,,,,,,,,,,
4727,39.4803201,-0.381611,,,,,,,,,,,,
4728,39.4806115,-0.3814292,150,,Carrer de Guillem de Castro,,,,,,,,,
4729,39.4756711,-0.3819779,,,,,,,,,,,,
4730,39.4757709,-0.3820391,,,,,,,,,,,,
4731,39.4770715,-0.3834758,,,,,,,,,,,,
4732,39.4773232,-0.3834205,,,,,,,,,,,,
4733,39.4770246,-0.3832706,,,,,,,,,,,,
4734,39.477013,-0.3831621,,,,,,,,,,,,
4735,39.4774063,-0.3832628,,,,,,,,,,,,
4736,39.4773739,-0.3831489,,,,,,,,,,,,
4737,39.4773521,-0.3829874,,,,,,,,,,,,
4738,39.4773371,-0.3828485,,,,,,,,,,,,
4739,39.4773011,-0.3826901,,,,,,,,,,,,
4740,39.4770028,-0.3830147,,,,,,,,,,,,
4741,39.476998,-0.3828765,,,,,,,,,,,,
4742,39.47701,-0.3826814,,,,,,,,,,,,
4743,39.4771648,-0.3826549,,,,,,,,,,,,
4744,39.477313,-0.3826603,,,,,,,,,,,,
4745,39.4777061,-0.3833274,,,,,,,,,,,,
4746,39.478143,-0.3832348,,,,,,,,,,,,
4747,39.4779622,-0.3832561,,,,,,,,,,,,
4748,39.4778822,-0.3829375,,,,,,,,,,,,
4749,39.4780818,-0.3830237,,,,,,,,,,,,
4750,39.4778296,-0.3824909,,,,,,,,,,,,
4751,39.4780536,-0.3828484,,,,,,,,,,,,
4752,39.4776923,-0.3831481,,,,,,,,,,,,
4753,39.4776212,-0.3826216,,,,,,,,,,,,
4754,39.4780238,-0.3822832,,,,,,,,,,,,
4755,39.4782334,-0.3823408,,,,,,,,,,,,
4756,39.4720342,-0.3789898,,,,hotel,5,,,,,,,
4757,39.4732249,-0.3822254,,,,,,,,,,,,
